2025-12-03 20:44:56,865 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a7b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:44:56,866 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a9f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:01,870 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61af90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:01,871 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61b260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:01,873 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61b500>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:06,875 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617f20>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:06,877 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6184a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:06,879 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61abd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:11,883 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:11,884 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6198e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:11,885 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6187a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:16,887 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6197f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:16,888 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618950>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:16,889 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619820>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:21,890 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61b7d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:21,891 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61ba40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:21,893 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61bda0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:26,894 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617da0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:26,895 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6195e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:26,895 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619df0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:31,897 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619940>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:31,898 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a720>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:31,902 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618410>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:36,919 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:36,921 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a960>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:36,924 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61ac60>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:41,930 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61b500>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:41,932 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61c230>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:41,949 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61c530>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:46,953 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617f80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:46,954 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a7e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:46,955 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a750>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:51,959 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
