timestamp,provider,from_region,to_region,latency_ms
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,af-south-1,8.43
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-east-1,366.61
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-east-2,384.94
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-northeast-1,374.85
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-northeast-2,395.30
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-northeast-3,387.42
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-south-1,285.03
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-south-2,318.99
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-1,336.40
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-2,410.17
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-3,350.11
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-4,422.38
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-5,336.75
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-6,448.70
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ap-southeast-7,361.65
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ca-central-1,220.95
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,ca-west-1,289.82
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-central-1,158.30
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-central-2,149.22
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-north-1,178.73
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-south-1,196.93
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-south-2,136.25
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-west-1,160.23
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-west-2,147.78
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,eu-west-3,146.17
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,il-central-1,231.49
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,me-central-1,291.96
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,me-south-1,257.59
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,mx-central-1,285.05
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,sa-east-1,343.52
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,us-east-1,228.63
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,us-east-2,240.49
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,us-west-1,288.87
2025-12-03 20:43:49,cloudping.co AWS,af-south-1,us-west-2,275.59
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,af-south-1,365.42
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-east-1,3.45
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-east-2,16.59
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-northeast-1,52.35
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-northeast-2,39.13
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-northeast-3,50.11
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-south-1,97.32
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-south-2,81.54
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-1,40.71
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-2,129.82
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-3,53.16
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-4,142.99
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-5,42.33
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-6,155.82
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ap-southeast-7,65.36
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ca-central-1,205.01
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,ca-west-1,164.14
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-central-1,196.67
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-central-2,188.01
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-north-1,212.41
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-south-1,191.10
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-south-2,214.37
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-west-1,260.54
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-west-2,207.96
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,eu-west-3,200.47
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,il-central-1,238.46
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,me-central-1,127.34
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,me-south-1,132.27
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,mx-central-1,203.88
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,sa-east-1,318.97
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,us-east-1,208.46
