provider,count,mean,std,min,25%,50%,75%,max
AWS,17081.0,0.17579,0.231859,0.013975,0.043,0.13767,0.22425,6.453414
Azure,19270.0,0.20524,0.506841,0.00708,0.0506,0.11092,0.18986,3.14296
GCP,17565.0,0.451929,0.306727,0.09962,0.26282,0.30772,0.59362,1.46756
Huawei,12587.0,0.232824,0.172027,0.01837,0.154,0.2285,0.252,4.089
