2025-12-03 20:44:14,187 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771970>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:16,191 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771940>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:16,193 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137783b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:16,194 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137781d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:18,198 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779100>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:18,199 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779430>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:18,201 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779760>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:20,203 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773650>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:20,205 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771eb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:20,206 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771970>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:22,208 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773fe0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:22,209 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137737a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:22,209 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513772990>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:24,219 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771ee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
