timestamp,provider,region,datacenter,latency_ms
2025-12-03 23:15:49,cloudping.net AWS,us-east-1,N. Virginia,95.00
2025-12-03 23:15:49,cloudping.net AWS,us-east-2,Ohio,113.58
2025-12-03 23:15:49,cloudping.net AWS,ca-central-1,Canada Central,114.00
2025-12-03 23:15:49,cloudping.net AWS,mx-central-1,Mexico Central,149.64
2025-12-03 23:15:49,cloudping.net AWS,ca-west-1,Canada West,162.78
2025-12-03 23:15:49,cloudping.net AWS,us-west-1,N. California,163.48
2025-12-03 23:15:49,cloudping.net AWS,us-west-2,Oregon,169.28
2025-12-03 23:15:49,cloudping.net AWS,sa-east-1,São Paulo,222.66
2025-12-03 23:15:49,cloudping.net AWS,eu-south-2,Spain,17.32
2025-12-03 23:15:49,cloudping.net AWS,eu-south-1,Milan,30.76
2025-12-03 23:15:49,cloudping.net AWS,eu-west-2,London,38.64
2025-12-03 23:15:49,cloudping.net AWS,eu-west-3,Paris,38.76
2025-12-03 23:15:49,cloudping.net AWS,eu-central-2,Zurich,40.26
2025-12-03 23:15:49,cloudping.net AWS,eu-central-1,Frankfurt,42.70
2025-12-03 23:15:49,cloudping.net AWS,eu-west-1,Ireland,43.28
2025-12-03 23:15:49,cloudping.net AWS,eu-north-1,Stockholm,57.04
2025-12-03 23:15:49,cloudping.net AWS,ap-south-1,Mumbai,112.92
2025-12-03 23:15:49,cloudping.net AWS,ap-south-2,Hyderabad,130.34
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-5,Malaysia,166.06
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-1,Singapore,167.24
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-3,Jakarta,174.96
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-7,Thailand,181.54
2025-12-03 23:15:49,cloudping.net AWS,ap-east-1,Hong Kong,187.82
2025-12-03 23:15:49,cloudping.net AWS,ap-northeast-1,Tokyo,227.02
2025-12-03 23:15:49,cloudping.net AWS,ap-northeast-2,Seoul,232.10
2025-12-03 23:15:49,cloudping.net AWS,ap-east-2,Taipei,235.38
2025-12-03 23:15:49,cloudping.net AWS,ap-northeast-3,Osaka,240.46
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-2,Sydney,273.92
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-4,Melbourne,289.88
2025-12-03 23:15:49,cloudping.net AWS,ap-southeast-6,New Zealand,302.72
2025-12-03 23:15:49,cloudping.net AWS,af-south-1,Cape Town,128.84
2025-12-03 23:15:49,cloudping.net AWS,il-central-1,Tel Aviv,73.12
2025-12-03 23:15:49,cloudping.net AWS,me-south-1,Bahrain,89.88
2025-12-03 23:15:49,cloudping.net AWS,me-central-1,UAE,124.12
2025-12-03 23:42:52,cloudping.net AWS,us-east-1,N. Virginia,101.04
2025-12-03 23:42:52,cloudping.net AWS,us-east-2,Ohio,111.30
2025-12-03 23:42:52,cloudping.net AWS,ca-central-1,Canada Central,112.98
2025-12-03 23:42:52,cloudping.net AWS,mx-central-1,Mexico Central,155.48
2025-12-03 23:42:52,cloudping.net AWS,ca-west-1,Canada West,157.78
2025-12-03 23:42:52,cloudping.net AWS,us-west-1,N. California,159.88
2025-12-03 23:42:52,cloudping.net AWS,us-west-2,Oregon,172.40
2025-12-03 23:42:52,cloudping.net AWS,sa-east-1,São Paulo,217.88
2025-12-03 23:42:52,cloudping.net AWS,eu-south-2,Spain,18.90
2025-12-03 23:42:52,cloudping.net AWS,eu-south-1,Milan,31.64
2025-12-03 23:42:52,cloudping.net AWS,eu-central-2,Zurich,32.94
2025-12-03 23:42:52,cloudping.net AWS,eu-west-2,London,37.50
2025-12-03 23:42:52,cloudping.net AWS,eu-central-1,Frankfurt,38.88
2025-12-03 23:42:52,cloudping.net AWS,eu-west-3,Paris,40.06
2025-12-03 23:42:52,cloudping.net AWS,eu-west-1,Ireland,47.34
2025-12-03 23:42:52,cloudping.net AWS,eu-north-1,Stockholm,58.54
2025-12-03 23:42:52,cloudping.net AWS,ap-south-1,Mumbai,115.22
2025-12-03 23:42:52,cloudping.net AWS,ap-south-2,Hyderabad,129.94
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-1,Singapore,161.82
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-5,Malaysia,165.98
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-3,Jakarta,184.08
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-7,Thailand,186.92
2025-12-03 23:42:52,cloudping.net AWS,ap-east-1,Hong Kong,205.26
2025-12-03 23:42:52,cloudping.net AWS,ap-northeast-2,Seoul,226.74
2025-12-03 23:42:52,cloudping.net AWS,ap-northeast-1,Tokyo,228.74
2025-12-03 23:42:52,cloudping.net AWS,ap-northeast-3,Osaka,235.52
2025-12-03 23:42:52,cloudping.net AWS,ap-east-2,Taipei,236.46
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-2,Sydney,278.20
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-4,Melbourne,289.10
2025-12-03 23:42:52,cloudping.net AWS,ap-southeast-6,New Zealand,301.76
2025-12-03 23:42:52,cloudping.net AWS,af-south-1,Cape Town,129.94
2025-12-03 23:42:52,cloudping.net AWS,il-central-1,Tel Aviv,70.80
2025-12-03 23:42:52,cloudping.net AWS,me-south-1,Bahrain,90.84
