2025-12-03 20:46:26,142 | INFO | GCP PING LANZADO
2025-12-03 20:46:26,143 | INFO | ESPERANDO ~31 REGIONES (máx 300s)...
2025-12-03 20:46:26,219 | INFO | 0s → 0 latencias
2025-12-03 20:46:29,930 | INFO | 3s → 28 latencias
2025-12-03 20:46:29,931 | INFO | ¡DATOS SUFICIENTES!
2025-12-03 20:46:36,013 | INFO | US East: 595.48ms
2025-12-03 20:46:36,167 | INFO | North America Northeast: 1107.86ms
2025-12-03 20:46:36,246 | INFO | US Central: 1123.80ms
2025-12-03 20:46:36,327 | INFO | US South: 1143.38ms
2025-12-03 20:46:36,372 | INFO | US West: 1148.60ms
2025-12-03 20:46:36,528 | INFO | US East 1: 265.22ms
2025-12-03 20:46:36,566 | INFO | US West 8: 352.50ms
2025-12-03 20:46:36,620 | INFO | South America East 1: 238.98ms
2025-12-03 20:46:36,665 | INFO | South America West 1: 253.92ms
2025-12-03 20:46:36,700 | INFO | Europe West: 127.48ms
2025-12-03 20:46:36,740 | INFO | Europe West: 950.12ms
2025-12-03 20:46:36,812 | INFO | Europe West: 350.48ms
2025-12-03 20:46:36,871 | INFO | Europe West: 850.74ms
2025-12-03 20:46:36,909 | INFO | Europe West: 654.18ms
2025-12-03 20:46:36,941 | INFO | Europe Central: 267.60ms
2025-12-03 20:46:36,974 | INFO | Europe West: 279.26ms
2025-12-03 20:46:37,012 | INFO | Europe West: 480.60ms
2025-12-03 20:46:37,049 | INFO | Europe North: 187.44ms
2025-12-03 20:46:37,106 | INFO | Asia Northeast 2: 258.98ms
2025-12-03 20:46:37,137 | INFO | Asia Northeast 3: 263.56ms
2025-12-03 20:46:37,170 | INFO | Asia Northeast 1: 264.28ms
2025-12-03 20:46:37,214 | INFO | Asia East 1: 264.58ms
2025-12-03 20:46:37,246 | INFO | Asia East 2: 290.80ms
2025-12-03 20:46:37,290 | INFO | Asia Southeast 1: 327.40ms
2025-12-03 20:46:37,325 | INFO | Asia South 1: 381.24ms
2025-12-03 20:46:37,355 | INFO | Asia Southeast 2: 328.30ms
2025-12-03 20:46:37,403 | INFO | Asia South 2: 383.02ms
2025-12-03 20:46:37,444 | INFO | Australia Southeast 1: 299.84ms
2025-12-03 20:46:37,489 | INFO | Australia Southeast 2: 307.46ms
2025-12-03 20:46:37,538 | INFO | ¡29 REGIONES GCP GUARDADAS!
2025-12-03 20:46:37,716 | INFO | Durmiendo 10 min...
2025-12-03 20:46:38,441 | INFO | SCRAPER GCP DETENIDO POR USUARIO
